Set Size,P(random2 == benign packet index)
4,0.24
5,0.197
6,0.155
7,0.14
8,0.13
9,0.1
10,0.097
11,0.084
12,0.084
13,0.074
15,0.067
14,0.06
18,0.059
17,0.058
16,0.056
19,0.053
22,0.051
20,0.048
21,0.044
31,0.042
35,0.042
26,0.041
29,0.038
32,0.037
23,0.035
24,0.035
28,0.033
34,0.033
25,0.032
27,0.032
30,0.031
45,0.029
51,0.028
48,0.027
52,0.027
37,0.026
50,0.026
38,0.025
41,0.025
54,0.023
72,0.023
44,0.022
53,0.022
69,0.022
71,0.022
33,0.021
57,0.021
70,0.02
77,0.019
36,0.018
40,0.018
43,0.018
55,0.018
88,0.018
39,0.017
47,0.017
60,0.017
62,0.017
64,0.017
91,0.017
42,0.016
58,0.016
82,0.016
84,0.016
73,0.015
83,0.015
46,0.014
56,0.014
66,0.014
68,0.014
76,0.014
81,0.014
95,0.014
49,0.013
61,0.013
63,0.013
67,0.013
74,0.013
75,0.013
137,0.013
80,0.012
89,0.012
103,0.012
109,0.012
110,0.012
129,0.012
133,0.012
139,0.012
59,0.011
78,0.011
79,0.011
93,0.011
104,0.011
86,0.01
94,0.01
96,0.01
97,0.01
102,0.01
106,0.01
125,0.01
131,0.01
141,0.01
146,0.01
175,0.01
92,0.009
98,0.009
99,0.009
100,0.009
105,0.009
115,0.009
116,0.009
117,0.009
123,0.009
126,0.009
128,0.009
132,0.009
138,0.009
143,0.009
156,0.009
162,0.009
90,0.008
101,0.008
112,0.008
113,0.008
114,0.008
120,0.008
130,0.008
134,0.008
140,0.008
157,0.008
176,0.008
65,0.007
85,0.007
121,0.007
135,0.007
145,0.007
148,0.007
159,0.007
161,0.007
166,0.007
178,0.007
87,0.006
118,0.006
119,0.006
147,0.006
149,0.006
150,0.006
151,0.006
153,0.006
154,0.006
163,0.006
168,0.006
177,0.006
107,0.005
108,0.005
111,0.005
127,0.005
152,0.005
155,0.005
164,0.005
165,0.005
167,0.005
170,0.005
174,0.005
124,0.004
136,0.004
158,0.004
160,0.004
169,0.004
171,0.004
172,0.004
142,0.003
144,0.003
173,0.003
122,0
